STATEFP	DISTRICT	YEAR	INDICATOR	VALUE	STATE	STATEABBREVIATION
04	1	2014	HCVacute	NULL	Arizona	AZ
04	1	2014	HCVacuterate	NULL	Arizona	AZ
04	1	2015	HCVacute	NULL	Arizona	AZ
04	1	2015	HCVacuterate	NULL	Arizona	AZ
04	2	2010	HCVacute	NULL	Arizona	AZ
04	2	2010	HCVacuterate	NULL	Arizona	AZ
04	2	2011	HCVacute	NULL	Arizona	AZ
04	2	2011	HCVacuterate	NULL	Arizona	AZ
04	2	2012	HCVacute	NULL	Arizona	AZ
04	2	2012	HCVacuterate	NULL	Arizona	AZ
04	2	2013	HCVacute	NULL	Arizona	AZ
04	2	2013	HCVacuterate	NULL	Arizona	AZ
04	2	2014	HCVacute	NULL	Arizona	AZ
04	2	2014	HCVacuterate	NULL	Arizona	AZ
04	2	2015	HCVacute	NULL	Arizona	AZ
04	2	2015	HCVacuterate	NULL	Arizona	AZ
04	3	2010	HCVacute	NULL	Arizona	AZ
04	3	2010	HCVacuterate	NULL	Arizona	AZ
04	3	2011	HCVacute	NULL	Arizona	AZ
04	3	2011	HCVacuterate	NULL	Arizona	AZ
04	3	2012	HCVacute	NULL	Arizona	AZ
04	3	2012	HCVacuterate	NULL	Arizona	AZ
04	3	2013	HCVacute	NULL	Arizona	AZ
04	3	2013	HCVacuterate	NULL	Arizona	AZ
04	3	2014	HCVacute	NULL	Arizona	AZ
04	3	2014	HCVacuterate	NULL	Arizona	AZ
04	3	2015	HCVacute	NULL	Arizona	AZ
04	3	2015	HCVacuterate	NULL	Arizona	AZ
04	4	2010	HCVacute	NULL	Arizona	AZ
04	4	2010	HCVacuterate	NULL	Arizona	AZ
04	4	2011	HCVacute	NULL	Arizona	AZ
04	4	2011	HCVacuterate	NULL	Arizona	AZ
04	4	2012	HCVacute	NULL	Arizona	AZ
04	4	2012	HCVacuterate	NULL	Arizona	AZ
04	4	2013	HCVacute	NULL	Arizona	AZ
04	4	2013	HCVacuterate	NULL	Arizona	AZ
04	4	2014	HCVacute	NULL	Arizona	AZ
04	4	2014	HCVacuterate	NULL	Arizona	AZ
04	4	2015	HCVacute	NULL	Arizona	AZ
04	4	2015	HCVacuterate	NULL	Arizona	AZ
04	5	2013	HCVacute	NULL	Arizona	AZ
04	5	2013	HCVacuterate	NULL	Arizona	AZ
04	5	2015	HCVacute	NULL	Arizona	AZ
04	5	2015	HCVacuterate	NULL	Arizona	AZ
04	6	2015	HCVacute	NULL	Arizona	AZ
04	6	2015	HCVacuterate	NULL	Arizona	AZ
04	7	2015	HCVacute	NULL	Arizona	AZ
04	7	2015	HCVacuterate	NULL	Arizona	AZ
04	8	2015	HCVacute	NULL	Arizona	AZ
04	8	2015	HCVacuterate	NULL	Arizona	AZ
04	9	2015	HCVacute	NULL	Arizona	AZ
04	9	2015	HCVacuterate	NULL	Arizona	AZ
05	1	2010	HCVacute	NULL	Arkansas	AR
05	1	2010	HCVacuterate	NULL	Arkansas	AR
05	1	2011	HCVacute	NULL	Arkansas	AR
05	1	2011	HCVacuterate	NULL	Arkansas	AR
05	1	2012	HCVacute	NULL	Arkansas	AR
05	1	2012	HCVacuterate	NULL	Arkansas	AR
05	1	2013	HCVacute	NULL	Arkansas	AR
05	1	2013	HCVacuterate	NULL	Arkansas	AR
05	1	2014	HCVacute	NULL	Arkansas	AR
05	1	2014	HCVacuterate	NULL	Arkansas	AR
05	1	2015	HCVacute	NULL	Arkansas	AR
05	1	2015	HCVacuterate	NULL	Arkansas	AR
05	2	2010	HCVacute	NULL	Arkansas	AR
05	2	2010	HCVacuterate	NULL	Arkansas	AR
05	2	2011	HCVacute	NULL	Arkansas	AR
05	2	2011	HCVacuterate	NULL	Arkansas	AR
05	2	2012	HCVacute	NULL	Arkansas	AR
05	2	2012	HCVacuterate	NULL	Arkansas	AR
05	2	2013	HCVacute	NULL	Arkansas	AR
05	2	2013	HCVacuterate	NULL	Arkansas	AR
05	2	2014	HCVacute	NULL	Arkansas	AR
05	2	2014	HCVacuterate	NULL	Arkansas	AR
05	2	2015	HCVacute	NULL	Arkansas	AR
05	2	2015	HCVacuterate	NULL	Arkansas	AR
05	3	2010	HCVacute	NULL	Arkansas	AR
05	3	2010	HCVacuterate	NULL	Arkansas	AR
05	3	2011	HCVacute	NULL	Arkansas	AR
05	3	2011	HCVacuterate	NULL	Arkansas	AR
05	3	2012	HCVacute	NULL	Arkansas	AR
05	3	2012	HCVacuterate	NULL	Arkansas	AR
05	3	2013	HCVacute	NULL	Arkansas	AR
05	3	2013	HCVacuterate	NULL	Arkansas	AR
05	3	2014	HCVacute	NULL	Arkansas	AR
05	3	2014	HCVacuterate	NULL	Arkansas	AR
05	3	2015	HCVacute	NULL	Arkansas	AR
05	3	2015	HCVacuterate	NULL	Arkansas	AR
05	4	2010	HCVacute	NULL	Arkansas	AR
05	4	2010	HCVacuterate	NULL	Arkansas	AR
05	4	2011	HCVacute	NULL	Arkansas	AR
05	4	2011	HCVacuterate	NULL	Arkansas	AR
05	4	2012	HCVacute	NULL	Arkansas	AR
05	4	2012	HCVacuterate	NULL	Arkansas	AR
05	4	2013	HCVacute	NULL	Arkansas	AR
05	4	2013	HCVacuterate	NULL	Arkansas	AR
05	4	2014	HCVacute	NULL	Arkansas	AR
05	4	2014	HCVacuterate	NULL	Arkansas	AR
05	4	2015	HCVacute	NULL	Arkansas	AR
05	4	2015	HCVacuterate	NULL	Arkansas	AR
06	1	2010	HCVacute	NULL	California	CA
06	1	2010	HCVacuterate	NULL	California	CA
06	1	2011	HCVacute	NULL	California	CA
06	1	2011	HCVacuterate	NULL	California	CA
06	1	2012	HCVacute	NULL	California	CA
06	1	2012	HCVacuterate	NULL	California	CA
06	1	2013	HCVacute	NULL	California	CA
06	1	2013	HCVacuterate	NULL	California	CA
06	1	2014	HCVacute	NULL	California	CA
06	1	2014	HCVacuterate	NULL	California	CA
06	1	2015	HCVacute	NULL	California	CA
06	1	2015	HCVacuterate	NULL	California	CA
06	2	2010	HCVacute	NULL	California	CA
06	2	2010	HCVacuterate	NULL	California	CA
06	2	2011	HCVacute	NULL	California	CA
06	2	2011	HCVacuterate	NULL	California	CA
06	2	2012	HCVacute	NULL	California	CA
06	2	2012	HCVacuterate	NULL	California	CA
06	2	2013	HCVacute	NULL	California	CA
06	2	2013	HCVacuterate	NULL	California	CA
06	2	2014	HCVacute	NULL	California	CA
06	2	2014	HCVacuterate	NULL	California	CA
06	2	2015	HCVacute	NULL	California	CA
06	2	2015	HCVacuterate	NULL	California	CA
06	3	2010	HCVacute	NULL	California	CA
06	3	2010	HCVacuterate	NULL	California	CA
06	3	2011	HCVacute	NULL	California	CA
06	3	2011	HCVacuterate	NULL	California	CA
06	3	2012	HCVacute	NULL	California	CA
06	3	2012	HCVacuterate	NULL	California	CA
06	3	2013	HCVacute	NULL	California	CA
06	3	2013	HCVacuterate	NULL	California	CA
06	3	2014	HCVacute	NULL	California	CA
06	3	2014	HCVacuterate	NULL	California	CA
06	3	2015	HCVacute	NULL	California	CA
06	3	2015	HCVacuterate	NULL	California	CA
06	4	2010	HCVacute	NULL	California	CA
06	4	2010	HCVacuterate	NULL	California	CA
06	4	2011	HCVacute	NULL	California	CA
06	4	2011	HCVacuterate	NULL	California	CA
06	4	2012	HCVacute	NULL	California	CA
06	4	2012	HCVacuterate	NULL	California	CA
06	4	2013	HCVacute	NULL	California	CA
06	4	2013	HCVacuterate	NULL	California	CA
06	4	2014	HCVacute	NULL	California	CA
06	4	2014	HCVacuterate	NULL	California	CA
06	4	2015	HCVacute	NULL	California	CA
06	4	2015	HCVacuterate	NULL	California	CA
06	5	2010	HCVacute	NULL	California	CA
06	5	2010	HCVacuterate	NULL	California	CA
06	5	2011	HCVacute	NULL	California	CA
06	5	2011	HCVacuterate	NULL	California	CA
06	5	2012	HCVacute	NULL	California	CA
06	5	2012	HCVacuterate	NULL	California	CA
06	5	2013	HCVacute	NULL	California	CA
06	5	2013	HCVacuterate	NULL	California	CA
06	5	2014	HCVacute	NULL	California	CA
06	5	2014	HCVacuterate	NULL	California	CA
06	5	2015	HCVacute	NULL	California	CA
06	5	2015	HCVacuterate	NULL	California	CA
06	6	2010	HCVacute	NULL	California	CA
06	6	2010	HCVacuterate	NULL	California	CA
06	6	2011	HCVacute	NULL	California	CA
06	6	2011	HCVacuterate	NULL	California	CA
06	6	2014	HCVacute	NULL	California	CA
06	6	2014	HCVacuterate	NULL	California	CA
06	6	2015	HCVacute	NULL	California	CA
06	6	2015	HCVacuterate	NULL	California	CA
06	7	2012	HCVacute	NULL	California	CA
06	7	2012	HCVacuterate	NULL	California	CA
06	7	2013	HCVacute	NULL	California	CA
06	7	2013	HCVacuterate	NULL	California	CA
06	7	2015	HCVacute	NULL	California	CA
06	7	2015	HCVacuterate	NULL	California	CA
06	8	2010	HCVacute	NULL	California	CA
06	8	2010	HCVacuterate	NULL	California	CA
06	8	2011	HCVacute	NULL	California	CA
06	8	2011	HCVacuterate	NULL	California	CA
06	8	2012	HCVacute	NULL	California	CA
06	8	2012	HCVacuterate	NULL	California	CA
06	8	2013	HCVacute	NULL	California	CA
06	8	2013	HCVacuterate	NULL	California	CA
06	8	2014	HCVacute	NULL	California	CA
06	8	2014	HCVacuterate	NULL	California	CA
06	8	2015	HCVacute	NULL	California	CA
06	8	2015	HCVacuterate	NULL	California	CA
06	9	2012	HCVacute	NULL	California	CA
06	9	2012	HCVacuterate	NULL	California	CA
06	9	2013	HCVacute	NULL	California	CA
06	9	2013	HCVacuterate	NULL	California	CA
06	9	2014	HCVacute	NULL	California	CA
06	9	2014	HCVacuterate	NULL	California	CA
06	9	2015	HCVacute	NULL	California	CA
06	9	2015	HCVacuterate	NULL	California	CA
06	10	2010	HCVacute	NULL	California	CA
06	10	2010	HCVacuterate	NULL	California	CA
06	10	2011	HCVacute	NULL	California	CA
06	10	2011	HCVacuterate	NULL	California	CA
06	10	2012	HCVacute	NULL	California	CA
06	10	2012	HCVacuterate	NULL	California	CA
06	10	2013	HCVacute	NULL	California	CA
06	10	2013	HCVacuterate	NULL	California	CA
06	10	2014	HCVacute	NULL	California	CA
06	10	2014	HCVacuterate	NULL	California	CA
06	10	2015	HCVacute	NULL	California	CA
06	10	2015	HCVacuterate	NULL	California	CA
06	11	2010	HCVacute	NULL	California	CA
06	11	2010	HCVacuterate	NULL	California	CA
06	11	2015	HCVacute	NULL	California	CA
06	11	2015	HCVacuterate	NULL	California	CA
06	12	2010	HCVacute	NULL	California	CA
06	12	2010	HCVacuterate	NULL	California	CA
06	12	2013	HCVacute	NULL	California	CA
06	12	2013	HCVacuterate	NULL	California	CA
06	12	2015	HCVacute	NULL	California	CA
06	12	2015	HCVacuterate	NULL	California	CA
06	13	2010	HCVacute	NULL	California	CA
06	13	2010	HCVacuterate	NULL	California	CA
06	13	2012	HCVacute	NULL	California	CA
06	13	2012	HCVacuterate	NULL	California	CA
06	13	2013	HCVacute	NULL	California	CA
06	13	2013	HCVacuterate	NULL	California	CA
06	13	2015	HCVacute	NULL	California	CA
06	13	2015	HCVacuterate	NULL	California	CA
06	14	2010	HCVacute	NULL	California	CA
06	14	2010	HCVacuterate	NULL	California	CA
06	14	2011	HCVacute	NULL	California	CA
06	14	2011	HCVacuterate	NULL	California	CA
06	14	2012	HCVacute	NULL	California	CA
06	14	2012	HCVacuterate	NULL	California	CA
06	14	2014	HCVacute	NULL	California	CA
06	14	2014	HCVacuterate	NULL	California	CA
06	14	2015	HCVacute	NULL	California	CA
06	14	2015	HCVacuterate	NULL	California	CA
06	15	2011	HCVacute	NULL	California	CA
06	15	2011	HCVacuterate	NULL	California	CA
06	15	2014	HCVacute	NULL	California	CA
06	15	2014	HCVacuterate	NULL	California	CA
06	15	2015	HCVacute	NULL	California	CA
06	15	2015	HCVacuterate	NULL	California	CA
06	16	2010	HCVacute	NULL	California	CA
06	16	2010	HCVacuterate	NULL	California	CA
06	16	2011	HCVacute	NULL	California	CA
06	16	2011	HCVacuterate	NULL	California	CA
06	16	2012	HCVacute	NULL	California	CA
06	16	2012	HCVacuterate	NULL	California	CA
06	16	2013	HCVacute	NULL	California	CA
06	16	2013	HCVacuterate	NULL	California	CA
06	16	2014	HCVacute	NULL	California	CA
06	16	2014	HCVacuterate	NULL	California	CA
06	16	2015	HCVacute	NULL	California	CA
06	16	2015	HCVacuterate	NULL	California	CA
06	17	2012	HCVacute	NULL	California	CA
06	17	2012	HCVacuterate	NULL	California	CA
06	17	2014	HCVacute	NULL	California	CA
06	17	2014	HCVacuterate	NULL	California	CA
06	17	2015	HCVacute	NULL	California	CA
06	17	2015	HCVacuterate	NULL	California	CA
06	18	2010	HCVacute	NULL	California	CA
06	18	2010	HCVacuterate	NULL	California	CA
06	18	2011	HCVacute	NULL	California	CA
06	18	2011	HCVacuterate	NULL	California	CA
06	18	2012	HCVacute	NULL	California	CA
06	18	2012	HCVacuterate	NULL	California	CA
06	18	2013	HCVacute	NULL	California	CA
06	18	2013	HCVacuterate	NULL	California	CA
06	18	2014	HCVacute	NULL	California	CA
06	18	2014	HCVacuterate	NULL	California	CA
06	18	2015	HCVacute	NULL	California	CA
06	18	2015	HCVacuterate	NULL	California	CA
06	19	2014	HCVacute	NULL	California	CA
06	19	2014	HCVacuterate	NULL	California	CA
06	19	2015	HCVacute	NULL	California	CA
06	19	2015	HCVacuterate	NULL	California	CA
06	20	2010	HCVacute	NULL	California	CA
06	20	2010	HCVacuterate	NULL	California	CA
06	20	2011	HCVacute	NULL	California	CA
06	20	2011	HCVacuterate	NULL	California	CA
06	20	2012	HCVacute	NULL	California	CA
06	20	2012	HCVacuterate	NULL	California	CA
06	20	2013	HCVacute	NULL	California	CA
06	20	2013	HCVacuterate	NULL	California	CA
06	20	2014	HCVacute	NULL	California	CA
06	20	2014	HCVacuterate	NULL	California	CA
06	20	2015	HCVacute	NULL	California	CA
06	20	2015	HCVacuterate	NULL	California	CA
06	21	2010	HCVacute	NULL	California	CA
06	21	2010	HCVacuterate	NULL	California	CA
06	21	2011	HCVacute	NULL	California	CA
06	21	2011	HCVacuterate	NULL	California	CA
06	21	2012	HCVacute	NULL	California	CA
06	21	2012	HCVacuterate	NULL	California	CA
06	21	2013	HCVacute	NULL	California	CA
06	21	2013	HCVacuterate	NULL	California	CA
06	21	2014	HCVacute	NULL	California	CA
06	21	2014	HCVacuterate	NULL	California	CA
06	21	2015	HCVacute	NULL	California	CA
06	21	2015	HCVacuterate	NULL	California	CA
06	22	2010	HCVacute	NULL	California	CA
06	22	2010	HCVacuterate	NULL	California	CA
06	22	2012	HCVacute	NULL	California	CA
06	22	2012	HCVacuterate	NULL	California	CA
06	22	2013	HCVacute	NULL	California	CA
06	22	2013	HCVacuterate	NULL	California	CA
06	22	2014	HCVacute	NULL	California	CA
06	22	2014	HCVacuterate	NULL	California	CA
06	22	2015	HCVacute	NULL	California	CA
06	22	2015	HCVacuterate	NULL	California	CA
06	23	2010	HCVacute	NULL	California	CA
06	23	2010	HCVacuterate	NULL	California	CA
06	23	2011	HCVacute	NULL	California	CA
06	23	2011	HCVacuterate	NULL	California	CA
06	23	2014	HCVacute	NULL	California	CA
06	23	2014	HCVacuterate	NULL	California	CA
06	23	2015	HCVacute	NULL	California	CA
06	23	2015	HCVacuterate	NULL	California	CA
06	24	2010	HCVacute	NULL	California	CA
06	24	2010	HCVacuterate	NULL	California	CA
06	24	2011	HCVacute	NULL	California	CA
06	24	2011	HCVacuterate	NULL	California	CA
06	24	2012	HCVacute	NULL	California	CA
06	24	2012	HCVacuterate	NULL	California	CA
06	24	2013	HCVacute	NULL	California	CA
06	24	2013	HCVacuterate	NULL	California	CA
06	24	2014	HCVacute	NULL	California	CA
06	24	2014	HCVacuterate	NULL	California	CA
06	24	2015	HCVacute	NULL	California	CA
06	24	2015	HCVacuterate	NULL	California	CA
06	25	2014	HCVacute	NULL	California	CA
06	25	2014	HCVacuterate	NULL	California	CA
06	25	2015	HCVacute	NULL	California	CA
06	25	2015	HCVacuterate	NULL	California	CA
06	26	2012	HCVacute	NULL	California	CA
06	26	2012	HCVacuterate	NULL	California	CA
06	26	2015	HCVacute	NULL	California	CA
06	26	2015	HCVacuterate	NULL	California	CA
06	27	2010	HCVacute	NULL	California	CA
06	27	2010	HCVacuterate	NULL	California	CA
06	27	2015	HCVacute	NULL	California	CA
06	27	2015	HCVacuterate	NULL	California	CA
06	28	2015	HCVacute	NULL	California	CA
06	28	2015	HCVacuterate	NULL	California	CA
06	29	2015	HCVacute	NULL	California	CA
06	29	2015	HCVacuterate	NULL	California	CA
06	30	2010	HCVacute	NULL	California	CA
06	30	2010	HCVacuterate	NULL	California	CA
06	30	2013	HCVacute	NULL	California	CA
06	30	2013	HCVacuterate	NULL	California	CA
06	30	2015	HCVacute	NULL	California	CA
06	30	2015	HCVacuterate	NULL	California	CA
06	31	2015	HCVacute	NULL	California	CA
06	31	2015	HCVacuterate	NULL	California	CA
06	32	2015	HCVacute	NULL	California	CA
06	32	2015	HCVacuterate	NULL	California	CA
06	33	2015	HCVacute	NULL	California	CA
06	33	2015	HCVacuterate	NULL	California	CA
06	34	2015	HCVacute	NULL	California	CA
06	34	2015	HCVacuterate	NULL	California	CA
06	35	2010	HCVacute	NULL	California	CA
06	35	2010	HCVacuterate	NULL	California	CA
06	35	2015	HCVacute	NULL	California	CA
06	35	2015	HCVacuterate	NULL	California	CA
06	36	2015	HCVacute	NULL	California	CA
06	36	2015	HCVacuterate	NULL	California	CA
06	37	2012	HCVacute	NULL	California	CA
06	37	2012	HCVacuterate	NULL	California	CA
06	37	2015	HCVacute	NULL	California	CA
06	37	2015	HCVacuterate	NULL	California	CA
06	38	2015	HCVacute	NULL	California	CA
06	38	2015	HCVacuterate	NULL	California	CA
06	39	2012	HCVacute	NULL	California	CA
06	39	2012	HCVacuterate	NULL	California	CA
06	39	2013	HCVacute	NULL	California	CA
06	39	2013	HCVacuterate	NULL	California	CA
06	39	2015	HCVacute	NULL	California	CA
06	39	2015	HCVacuterate	NULL	California	CA
06	40	2011	HCVacute	NULL	California	CA
06	40	2011	HCVacuterate	NULL	California	CA
06	40	2015	HCVacute	NULL	California	CA
06	40	2015	HCVacuterate	NULL	California	CA
06	41	2010	HCVacute	NULL	California	CA
06	41	2010	HCVacuterate	NULL	California	CA
06	41	2014	HCVacute	NULL	California	CA
06	41	2014	HCVacuterate	NULL	California	CA
06	41	2015	HCVacute	NULL	California	CA
06	41	2015	HCVacuterate	NULL	California	CA
06	42	2015	HCVacute	NULL	California	CA
06	42	2015	HCVacuterate	NULL	California	CA
06	43	2015	HCVacute	NULL	California	CA
06	43	2015	HCVacuterate	NULL	California	CA
06	44	2015	HCVacute	NULL	California	CA
06	44	2015	HCVacuterate	NULL	California	CA
06	45	2011	HCVacute	NULL	California	CA
06	45	2011	HCVacuterate	NULL	California	CA
06	45	2012	HCVacute	NULL	California	CA
06	45	2012	HCVacuterate	NULL	California	CA
06	45	2013	HCVacute	NULL	California	CA
06	45	2013	HCVacuterate	NULL	California	CA
06	45	2015	HCVacute	NULL	California	CA
06	45	2015	HCVacuterate	NULL	California	CA
06	46	2010	HCVacute	NULL	California	CA
06	46	2010	HCVacuterate	NULL	California	CA
06	46	2015	HCVacute	NULL	California	CA
06	46	2015	HCVacuterate	NULL	California	CA
06	47	2014	HCVacute	NULL	California	CA
06	47	2014	HCVacuterate	NULL	California	CA
06	47	2015	HCVacute	NULL	California	CA
06	47	2015	HCVacuterate	NULL	California	CA
06	48	2015	HCVacute	NULL	California	CA
06	48	2015	HCVacuterate	NULL	California	CA
06	49	2012	HCVacute	NULL	California	CA
06	49	2012	HCVacuterate	NULL	California	CA
06	49	2015	HCVacute	NULL	California	CA
06	49	2015	HCVacuterate	NULL	California	CA
06	50	2011	HCVacute	NULL	California	CA
06	50	2011	HCVacuterate	NULL	California	CA
06	50	2012	HCVacute	NULL	California	CA
06	50	2012	HCVacuterate	NULL	California	CA
06	50	2013	HCVacute	NULL	California	CA
06	50	2013	HCVacuterate	NULL	California	CA
06	50	2015	HCVacute	NULL	California	CA
06	50	2015	HCVacuterate	NULL	California	CA
06	51	2010	HCVacute	NULL	California	CA
06	51	2010	HCVacuterate	NULL	California	CA
06	51	2011	HCVacute	NULL	California	CA
06	51	2011	HCVacuterate	NULL	California	CA
06	51	2012	HCVacute	NULL	California	CA
06	51	2012	HCVacuterate	NULL	California	CA
06	51	2013	HCVacute	NULL	California	CA
06	51	2013	HCVacuterate	NULL	California	CA
06	51	2014	HCVacute	NULL	California	CA
06	51	2014	HCVacuterate	NULL	California	CA
06	51	2015	HCVacute	NULL	California	CA
06	51	2015	HCVacuterate	NULL	California	CA
06	52	2010	HCVacute	NULL	California	CA
06	52	2010	HCVacuterate	NULL	California	CA
06	52	2014	HCVacute	NULL	California	CA
06	52	2014	HCVacuterate	NULL	California	CA
06	52	2015	HCVacute	NULL	California	CA
06	52	2015	HCVacuterate	NULL	California	CA
06	53	2011	HCVacute	NULL	California	CA
06	53	2011	HCVacuterate	NULL	California	CA
06	53	2015	HCVacute	NULL	California	CA
06	53	2015	HCVacuterate	NULL	California	CA
08	1	2010	HCVacute	NULL	Colorado	CO
08	1	2010	HCVacuterate	NULL	Colorado	CO
08	1	2011	HCVacute	NULL	Colorado	CO
08	1	2011	HCVacuterate	NULL	Colorado	CO
08	1	2012	HCVacute	NULL	Colorado	CO
08	1	2012	HCVacuterate	NULL	Colorado	CO
08	1	2013	HCVacute	NULL	Colorado	CO
08	1	2013	HCVacuterate	NULL	Colorado	CO
08	1	2014	HCVacute	NULL	Colorado	CO
08	1	2014	HCVacuterate	NULL	Colorado	CO
08	1	2015	HCVacute	NULL	Colorado	CO
08	1	2015	HCVacuterate	NULL	Colorado	CO
08	2	2010	HCVacute	NULL	Colorado	CO
08	2	2010	HCVacuterate	NULL	Colorado	CO
08	2	2011	HCVacute	NULL	Colorado	CO
08	2	2011	HCVacuterate	NULL	Colorado	CO
08	2	2012	HCVacute	NULL	Colorado	CO
08	2	2012	HCVacuterate	NULL	Colorado	CO
08	2	2013	HCVacute	NULL	Colorado	CO
08	2	2013	HCVacuterate	NULL	Colorado	CO
08	2	2014	HCVacute	NULL	Colorado	CO
08	2	2014	HCVacuterate	NULL	Colorado	CO
