STATEFP	YEAR	INDICATOR	VALUE	STATE	STATEABBREVIATION
29	2016	pct_tx_med	15.7	Missouri	MO
28	2016	pct_tx_med	4	Mississippi	MS
30	2016	pct_tx_med	7.2	Montana	MT
37	2016	pct_tx_med	21.4	North Carolina	NC
38	2016	pct_tx_med	17.4	North Dakota	ND
31	2016	pct_tx_med	9.7	Nebraska	NE
33	2016	pct_tx_med	17.8	New Hampshire	NH
34	2016	pct_tx_med	22	New Jersey	NJ
35	2016	pct_tx_med	29.9	New Mexico	NM
32	2016	pct_tx_med	11.9	Nevada	NV
36	2016	pct_tx_med	37.6	New York	NY
00	2016	pct_tx_med	24.2	United States	US
39	2016	pct_tx_med	49.5	Ohio	OH
40	2016	pct_tx_med	6.9	Oklahoma	OK
41	2016	pct_tx_med	23.8	Oregon	OR
42	2016	pct_tx_med	29.2	Pennsylvania	PA
44	2016	pct_tx_med	49.6	Rhode Island	RI
45	2016	pct_tx_med	12	South Carolina	SC
46	2016	pct_tx_med	10.6	South Dakota	SD
47	2016	pct_tx_med	10	Tennessee	TN
48	2016	pct_tx_med	5.7	Texas	TX
49	2016	pct_tx_med	4.4	Utah	UT
51	2016	pct_tx_med	13.1	Virginia	VA
50	2016	pct_tx_med	68.1	Vermont	VT
53	2016	pct_tx_med	26.1	Washington	WA
55	2016	pct_tx_med	36.5	Wisconsin	WI
54	2016	pct_tx_med	44.7	West Virginia	WV
56	2016	pct_tx_med	19.1	Wyoming	WY
72	2016	pct_tx_med	NULL	Puerto Rico	PR
01	2015	pctunins	12.7	Alabama	AL
01	2016	pctunins	11.6	Alabama	AL
02	2015	pctunins	18.2	Alaska	AK
02	2016	pctunins	16.9	Alaska	AK
04	2015	pctunins	15	Arizona	AZ
04	2016	pctunins	13.6	Arizona	AZ
05	2015	pctunins	14.2	Arkansas	AR
05	2016	pctunins	12.3	Arkansas	AR
06	2015	pctunins	14.7	California	CA
06	2016	pctunins	12.6	California	CA
08	2015	pctunins	12.3	Colorado	CO
08	2016	pctunins	10.9	Colorado	CO
09	2015	pctunins	7.9	Connecticut	CT
09	2016	pctunins	7.1	Connecticut	CT
10	2015	pctunins	8.2	Delaware	DE
10	2016	pctunins	7.5	Delaware	DE
11	2015	pctunins	5.8	District of Columbia	DC
11	2016	pctunins	5.2	District of Columbia	DC
12	2015	pctunins	18	Florida	FL
12	2016	pctunins	16.4	Florida	FL
13	2015	pctunins	17.1	Georgia	GA
13	2016	pctunins	15.8	Georgia	GA
15	2015	pctunins	5.9	Hawaii	HI
15	2016	pctunins	5.2	Hawaii	HI
16	2015	pctunins	14.7	Idaho	ID
16	2016	pctunins	13.5	Idaho	ID
17	2015	pctunins	11	Illinois	IL
17	2016	pctunins	9.7	Illinois	IL
18	2015	pctunins	12.8	Indiana	IN
18	2016	pctunins	11.5	Indiana	IN
19	2015	pctunins	7.3	Iowa	IA
19	2016	pctunins	6.4	Iowa	IA
20	2015	pctunins	11.2	Kansas	KS
20	2016	pctunins	10.5	Kansas	KS
21	2015	pctunins	11.4	Kentucky	KY
21	2016	pctunins	9.6	Kentucky	KY
22	2015	pctunins	15.5	Louisiana	LA
22	2016	pctunins	14.1	Louisiana	LA
23	2015	pctunins	10	Maine	ME
23	2016	pctunins	9.5	Maine	ME
24	2015	pctunins	9	Maryland	MD
24	2016	pctunins	8.1	Maryland	MD
25	2015	pctunins	3.6	Massachusetts	MA
25	2016	pctunins	3.2	Massachusetts	MA
26	2015	pctunins	9.6	Michigan	MI
26	2016	pctunins	8.4	Michigan	MI
27	2015	pctunins	7	Minnesota	MN
27	2016	pctunins	6.1	Minnesota	MN
28	2015	pctunins	15.8	Mississippi	MS
28	2016	pctunins	14.6	Mississippi	MS
29	2015	pctunins	12.2	Missouri	MO
29	2016	pctunins	11.3	Missouri	MO
30	2015	pctunins	15.5	Montana	MT
30	2016	pctunins	13.7	Montana	MT
31	2015	pctunins	10.3	Nebraska	NE
31	2016	pctunins	9.7	Nebraska	NE
32	2015	pctunins	18.3	Nevada	NV
32	2016	pctunins	16.2	Nevada	NV
33	2015	pctunins	9.3	New Hampshire	NH
33	2016	pctunins	8.4	New Hampshire	NH
34	2015	pctunins	11.6	New Jersey	NJ
34	2016	pctunins	10.7	New Jersey	NJ
35	2015	pctunins	16.4	New Mexico	NM
35	2016	pctunins	14.4	New Mexico	NM
36	2015	pctunins	9.7	New York	NY
36	2016	pctunins	8.6	New York	NY
37	2015	pctunins	14.4	North Carolina	NC
37	2016	pctunins	13.2	North Carolina	NC
38	2015	pctunins	9.1	North Dakota	ND
38	2016	pctunins	8.6	North Dakota	ND
39	2015	pctunins	9.7	Ohio	OH
39	2016	pctunins	8.5	Ohio	OH
40	2015	pctunins	16.7	Oklahoma	OK
40	2016	pctunins	15.7	Oklahoma	OK
41	2015	pctunins	12.3	Oregon	OR
41	2016	pctunins	10.4	Oregon	OR
42	2015	pctunins	8.8	Pennsylvania	PA
42	2016	pctunins	8	Pennsylvania	PA
44	2015	pctunins	9.3	Rhode Island	RI
44	2016	pctunins	8	Rhode Island	RI
45	2015	pctunins	14.5	South Carolina	SC
45	2016	pctunins	13.3	South Carolina	SC
46	2015	pctunins	11	South Dakota	SD
46	2016	pctunins	10.3	South Dakota	SD
47	2015	pctunins	12.8	Tennessee	TN
47	2016	pctunins	11.8	Tennessee	TN
48	2015	pctunins	20.6	Texas	TX
48	2016	pctunins	19.3	Texas	TX
49	2015	pctunins	13.2	Utah	UT
49	2016	pctunins	12	Utah	UT
50	2015	pctunins	5.8	Vermont	VT
50	2016	pctunins	5.3	Vermont	VT
51	2015	pctunins	11.4	Virginia	VA
51	2016	pctunins	10.7	Virginia	VA
53	2015	pctunins	11.4	Washington	WA
53	2016	pctunins	9.8	Washington	WA
54	2015	pctunins	11.5	West Virginia	WV
54	2016	pctunins	9.6	West Virginia	WV
55	2015	pctunins	7.9	Wisconsin	WI
55	2016	pctunins	7.2	Wisconsin	WI
56	2015	pctunins	13.4	Wyoming	WY
56	2016	pctunins	12.8	Wyoming	WY
72	2015	pctunins	6.6	Puerto Rico	PR
72	2016	pctunins	6.3	Puerto Rico	PR
00	2015	pctunins	13	United States	US
00	2016	pctunins	11.7	United States	US
01	2017	CURES_funds	7967873	Alabama	AL
02	2017	CURES_funds	2000000	Alaska	AK
04	2017	CURES_funds	12171518	Arizona	AZ
05	2017	CURES_funds	3901297	Arkansas	AR
06	2017	CURES_funds	44749771	California	CA
08	2017	CURES_funds	7869651	Colorado	CO
09	2017	CURES_funds	5500157	Connecticut	CT
10	2017	CURES_funds	2000000	Delaware	DE
11	2017	CURES_funds	2000000	District of Columbia	DC
12	2017	CURES_funds	27150403	Florida	FL
13	2017	CURES_funds	11782710	Georgia	GA
15	2017	CURES_funds	2000000	Hawaii	HI
16	2017	CURES_funds	2000000	Idaho	ID
17	2017	CURES_funds	16328583	Illinois	IL
18	2017	CURES_funds	10925992	Indiana	IN
19	2017	CURES_funds	2728077	Iowa	IA
20	2017	CURES_funds	3114402	Kansas	KS
21	2017	CURES_funds	10528093	Kentucky	KY
22	2017	CURES_funds	8167971	Louisiana	LA
23	2017	CURES_funds	2039029	Maine	ME
24	2017	CURES_funds	10036845	Maryland	MD
25	2017	CURES_funds	11742924	Massachusetts	MA
26	2017	CURES_funds	16372680	Michigan	MI
27	2017	CURES_funds	5379349	Minnesota	MN
28	2017	CURES_funds	3584702	Mississippi	MS
29	2017	CURES_funds	10015898	Missouri	MO
30	2017	CURES_funds	2000000	Montana	MT
31	2017	CURES_funds	2000000	Nebraska	NE
32	2017	CURES_funds	5663328	Nevada	NV
33	2017	CURES_funds	3128366	New Hampshire	NH
34	2017	CURES_funds	12995621	New Jersey	NJ
35	2017	CURES_funds	4792551	New Mexico	NM
36	2017	CURES_funds	25260676	New York	NY
37	2017	CURES_funds	15586724	North Carolina	NC
38	2017	CURES_funds	2000000	North Dakota	ND
39	2017	CURES_funds	26060502	Ohio	OH
40	2017	CURES_funds	7283229	Oklahoma	OK
41	2017	CURES_funds	6564425	Oregon	OR
42	2017	CURES_funds	26507559	Pennsylvania	PA
72	2017	CURES_funds	4811962	Puerto Rico	PR
44	2017	CURES_funds	2167007	Rhode Island	RI
45	2017	CURES_funds	6575623	South Carolina	SC
46	2017	CURES_funds	2000000	South Dakota	SD
47	2017	CURES_funds	13815132	Tennessee	TN
48	2017	CURES_funds	27362357	Texas	TX
49	2017	CURES_funds	5537458	Utah	UT
50	2017	CURES_funds	2000000	Vermont	VT
51	2017	CURES_funds	9762332	Virginia	VA
53	2017	CURES_funds	11790256	Washington	WA
54	2017	CURES_funds	5881983	West Virginia	WV
55	2017	CURES_funds	7636938	Wisconsin	WI
56	2017	CURES_funds	2000000	Wyoming	WY
01	2016	RW_funds	24546600	Alabama	AL
02	2016	RW_funds	2283000	Alaska	AK
04	2016	RW_funds	22344600	Arizona	AZ
05	2016	RW_funds	9600812	Arkansas	AR
06	2016	RW_funds	285326048	California	CA
08	2016	RW_funds	23975196	Colorado	CO
09	2016	RW_funds	25341464	Connecticut	CT
10	2016	RW_funds	6250550	Delaware	DE
11	2016	RW_funds	57703084	District of Columbia	DC
12	2016	RW_funds	223205280	Florida	FL
13	2016	RW_funds	108109200	Georgia	GA
15	2016	RW_funds	3989454	Hawaii	HI
16	2016	RW_funds	3974354	Idaho	ID
17	2016	RW_funds	79236072	Illinois	IL
18	2016	RW_funds	18375528	Indiana	IN
19	2016	RW_funds	12105117	Iowa	IA
20	2016	RW_funds	4908955	Kansas	KS
21	2016	RW_funds	13337515	Kentucky	KY
22	2016	RW_funds	42471616	Louisiana	LA
23	2016	RW_funds	2843468	Maine	ME
24	2016	RW_funds	54961080	Maryland	MD
25	2016	RW_funds	44276496	Massachusetts	MA
26	2016	RW_funds	31360640	Michigan	MI
27	2016	RW_funds	14962098	Minnesota	MN
28	2016	RW_funds	25550088	Mississippi	MS
29	2016	RW_funds	28282426	Missouri	MO
30	2016	RW_funds	3065299	Montana	MT
31	2016	RW_funds	6812797	Nebraska	NE
32	2016	RW_funds	16447310	Nevada	NV
33	2016	RW_funds	2270134	New Hampshire	NH
34	2016	RW_funds	79088568	New Jersey	NJ
35	2016	RW_funds	5781603	New Mexico	NM
36	2016	RW_funds	316958624	New York	NY
37	2016	RW_funds	57041916	North Carolina	NC
38	2016	RW_funds	696733	North Dakota	ND
39	2016	RW_funds	37154872	Ohio	OH
40	2016	RW_funds	10345013	Oklahoma	OK
41	2016	RW_funds	12124267	Oregon	OR
42	2016	RW_funds	76353200	Pennsylvania	PA
44	2016	RW_funds	8230402	Rhode Island	RI
45	2016	RW_funds	32166456	South Carolina	SC
46	2016	RW_funds	1267949	South Dakota	SD
47	2016	RW_funds	46991104	Tennessee	TN
48	2016	RW_funds	170466256	Texas	TX
49	2016	RW_funds	7228476	Utah	UT
50	2016	RW_funds	1444947	Vermont	VT
51	2016	RW_funds	52012380	Virginia	VA
53	2016	RW_funds	22478300	Washington	WA
54	2016	RW_funds	3528946	West Virginia	WV
55	2016	RW_funds	13421517	Wisconsin	WI
56	2016	RW_funds	955377	Wyoming	WY
72	2016	RW_funds	69120960	Puerto Rico	PR
00	2016	RW_funds	2222774147	United States	US
01	2010	drugdeaths	547	Alabama	AL
01	2010	drugdeathrate	11.4	Alabama	AL
01	2011	drugdeaths	552	Alabama	AL
01	2011	drugdeathrate	11.5	Alabama	AL
01	2012	drugdeaths	562	Alabama	AL
01	2012	drugdeathrate	11.7	Alabama	AL
01	2013	drugdeaths	598	Alabama	AL
01	2013	drugdeathrate	12.4	Alabama	AL
01	2014	drugdeaths	723	Alabama	AL
01	2014	drugdeathrate	14.9	Alabama	AL
01	2015	drugdeaths	736	Alabama	AL
01	2015	drugdeathrate	15.1	Alabama	AL
01	2016	drugdeaths	756	Alabama	AL
01	2016	drugdeathrate	15.5	Alabama	AL
02	2010	drugdeaths	83	Alaska	AK
02	2010	drugdeathrate	11.7	Alaska	AK
02	2011	drugdeaths	107	Alaska	AK
02	2011	drugdeathrate	14.8	Alaska	AK
02	2012	drugdeaths	129	Alaska	AK
02	2012	drugdeathrate	17.6	Alaska	AK
02	2013	drugdeaths	105	Alaska	AK
02	2013	drugdeathrate	14.3	Alaska	AK
02	2014	drugdeaths	124	Alaska	AK
02	2014	drugdeathrate	16.8	Alaska	AK
02	2015	drugdeaths	122	Alaska	AK
02	2015	drugdeathrate	16.5	Alaska	AK
02	2016	drugdeaths	128	Alaska	AK
02	2016	drugdeathrate	17.3	Alaska	AK
04	2010	drugdeaths	1098	Arizona	AZ
04	2010	drugdeathrate	17.2	Arizona	AZ
04	2011	drugdeaths	1071	Arizona	AZ
04	2011	drugdeathrate	16.5	Arizona	AZ
04	2012	drugdeaths	1134	Arizona	AZ
04	2012	drugdeathrate	17.3	Arizona	AZ
04	2013	drugdeaths	1222	Arizona	AZ
04	2013	drugdeathrate	18.4	Arizona	AZ
04	2014	drugdeaths	1211	Arizona	AZ
04	2014	drugdeathrate	18	Arizona	AZ
04	2015	drugdeaths	1274	Arizona	AZ
04	2015	drugdeathrate	18.7	Arizona	AZ
04	2016	drugdeaths	1382	Arizona	AZ
04	2016	drugdeathrate	19.9	Arizona	AZ
05	2010	drugdeaths	350	Arkansas	AR
05	2010	drugdeathrate	12	Arkansas	AR
05	2011	drugdeaths	355	Arkansas	AR
05	2011	drugdeathrate	12.1	Arkansas	AR
05	2012	drugdeaths	373	Arkansas	AR
05	2012	drugdeathrate	12.6	Arkansas	AR
05	2013	drugdeaths	319	Arkansas	AR
05	2013	drugdeathrate	10.8	Arkansas	AR
05	2014	drugdeaths	356	Arkansas	AR
05	2014	drugdeathrate	12	Arkansas	AR
05	2015	drugdeaths	392	Arkansas	AR
05	2015	drugdeathrate	13.2	Arkansas	AR
05	2016	drugdeaths	401	Arkansas	AR
05	2016	drugdeathrate	13.4	Arkansas	AR
06	2010	drugdeaths	4057	California	CA
06	2010	drugdeathrate	10.9	California	CA
06	2011	drugdeaths	4180	California	CA
06	2011	drugdeathrate	11.1	California	CA
06	2012	drugdeaths	4040	California	CA
06	2012	drugdeathrate	10.6	California	CA
06	2013	drugdeaths	4452	California	CA
06	2013	drugdeathrate	11.6	California	CA
06	2014	drugdeaths	4521	California	CA
06	2014	drugdeathrate	11.7	California	CA
06	2015	drugdeaths	4659	California	CA
06	2015	drugdeathrate	11.9	California	CA
06	2016	drugdeaths	4654	California	CA
06	2016	drugdeathrate	11.9	California	CA
08	2010	drugdeaths	654	Colorado	CO
08	2010	drugdeathrate	13	Colorado	CO
08	2011	drugdeaths	843	Colorado	CO
08	2011	drugdeathrate	16.5	Colorado	CO
08	2012	drugdeaths	807	Colorado	CO
08	2012	drugdeathrate	15.6	Colorado	CO
08	2013	drugdeaths	846	Colorado	CO
08	2013	drugdeathrate	16.1	Colorado	CO
08	2014	drugdeaths	899	Colorado	CO
08	2014	drugdeathrate	16.8	Colorado	CO
08	2015	drugdeaths	869	Colorado	CO
08	2015	drugdeathrate	15.9	Colorado	CO
08	2016	drugdeaths	942	Colorado	CO
08	2016	drugdeathrate	17	Colorado	CO
09	2010	drugdeaths	363	Connecticut	CT
09	2010	drugdeathrate	10.2	Connecticut	CT
09	2011	drugdeaths	402	Connecticut	CT
09	2011	drugdeathrate	11.2	Connecticut	CT
09	2012	drugdeaths	439	Connecticut	CT
09	2012	drugdeathrate	12.2	Connecticut	CT
09	2013	drugdeaths	582	Connecticut	CT
09	2013	drugdeathrate	16.2	Connecticut	CT
09	2014	drugdeaths	623	Connecticut	CT
09	2014	drugdeathrate	17.3	Connecticut	CT
09	2015	drugdeaths	800	Connecticut	CT
09	2015	drugdeathrate	22.3	Connecticut	CT
09	2016	drugdeaths	971	Connecticut	CT
09	2016	drugdeathrate	27.1	Connecticut	CT
10	2010	drugdeaths	145	Delaware	DE
10	2010	drugdeathrate	16.1	Delaware	DE
10	2011	drugdeaths	160	Delaware	DE
10	2011	drugdeathrate	17.6	Delaware	DE
10	2012	drugdeaths	141	Delaware	DE
10	2012	drugdeathrate	15.4	Delaware	DE
10	2013	drugdeaths	166	Delaware	DE
10	2013	drugdeathrate	17.9	Delaware	DE
10	2014	drugdeaths	189	Delaware	DE
10	2014	drugdeathrate	20.2	Delaware	DE
10	2015	drugdeaths	198	Delaware	DE
10	2015	drugdeathrate	20.9	Delaware	DE
10	2016	drugdeaths	282	Delaware	DE
10	2016	drugdeathrate	29.6	Delaware	DE
11	2010	drugdeaths	78	District of Columbia	DC
11	2010	drugdeathrate	13	District of Columbia	DC
11	2011	drugdeaths	86	District of Columbia	DC
11	2011	drugdeathrate	13.9	District of Columbia	DC
11	2012	drugdeaths	77	District of Columbia	DC
11	2012	drugdeathrate	12.2	District of Columbia	DC
11	2013	drugdeaths	102	District of Columbia	DC
11	2013	drugdeathrate	15.8	District of Columbia	DC
11	2014	drugdeaths	96	District of Columbia	DC
11	2014	drugdeathrate	14.6	District of Columbia	DC
11	2015	drugdeaths	125	District of Columbia	DC
11	2015	drugdeathrate	18.6	District of Columbia	DC
11	2016	drugdeaths	269	District of Columbia	DC
11	2016	drugdeathrate	39.5	District of Columbia	DC
12	2010	drugdeaths	3061	Florida	FL
12	2010	drugdeathrate	16.3	Florida	FL
12	2011	drugdeaths	2918	Florida	FL
12	2011	drugdeathrate	15.3	Florida	FL
12	2012	drugdeaths	2597	Florida	FL
12	2012	drugdeathrate	13.4	Florida	FL
12	2013	drugdeaths	2474	Florida	FL
12	2013	drugdeathrate	12.7	Florida	FL
12	2014	drugdeaths	2634	Florida	FL
12	2014	drugdeathrate	13.2	Florida	FL
12	2015	drugdeaths	3228	Florida	FL
12	2015	drugdeathrate	15.9	Florida	FL
12	2016	drugdeaths	4728	Florida	FL
12	2016	drugdeathrate	22.9	Florida	FL
13	2010	drugdeaths	1054	Georgia	GA
13	2010	drugdeathrate	10.9	Georgia	GA
13	2011	drugdeaths	1058	Georgia	GA
13	2011	drugdeathrate	10.8	Georgia	GA
13	2012	drugdeaths	1056	Georgia	GA
13	2012	drugdeathrate	10.6	Georgia	GA
13	2013	drugdeaths	1098	Georgia	GA
13	2013	drugdeathrate	11	Georgia	GA
13	2014	drugdeaths	1206	Georgia	GA
13	2014	drugdeathrate	11.9	Georgia	GA
13	2015	drugdeaths	1302	Georgia	GA
13	2015	drugdeathrate	12.7	Georgia	GA
13	2016	drugdeaths	1394	Georgia	GA
13	2016	drugdeathrate	13.5	Georgia	GA
15	2010	drugdeaths	151	Hawaii	HI
15	2010	drugdeathrate	11.1	Hawaii	HI
15	2011	drugdeaths	180	Hawaii	HI
15	2011	drugdeathrate	13.1	Hawaii	HI
15	2012	drugdeaths	155	Hawaii	HI
15	2012	drugdeathrate	11.1	Hawaii	HI
15	2013	drugdeaths	158	Hawaii	HI
15	2013	drugdeathrate	11.3	Hawaii	HI
15	2014	drugdeaths	157	Hawaii	HI
15	2014	drugdeathrate	11.1	Hawaii	HI
15	2015	drugdeaths	169	Hawaii	HI
15	2015	drugdeathrate	11.8	Hawaii	HI
15	2016	drugdeaths	191	Hawaii	HI
15	2016	drugdeathrate	13.4	Hawaii	HI
16	2010	drugdeaths	178	Idaho	ID
16	2010	drugdeathrate	11.4	Idaho	ID
16	2011	drugdeaths	193	Idaho	ID
16	2011	drugdeathrate	12.2	Idaho	ID
16	2012	drugdeaths	181	Idaho	ID
16	2012	drugdeathrate	11.3	Idaho	ID
16	2013	drugdeaths	207	Idaho	ID
16	2013	drugdeathrate	12.8	Idaho	ID
16	2014	drugdeaths	212	Idaho	ID
16	2014	drugdeathrate	13	Idaho	ID
16	2015	drugdeaths	218	Idaho	ID
16	2015	drugdeathrate	13.2	Idaho	ID
16	2016	drugdeaths	243	Idaho	ID
16	2016	drugdeathrate	14.4	Idaho	ID
17	2010	drugdeaths	1288	Illinois	IL
17	2010	drugdeathrate	10	Illinois	IL
17	2011	drugdeaths	1408	Illinois	IL
17	2011	drugdeathrate	10.9	Illinois	IL
17	2012	drugdeaths	1628	Illinois	IL
17	2012	drugdeathrate	12.6	Illinois	IL
17	2013	drugdeaths	1579	Illinois	IL
17	2013	drugdeathrate	12.3	Illinois	IL
17	2014	drugdeaths	1705	Illinois	IL
17	2014	drugdeathrate	13.2	Illinois	IL
17	2015	drugdeaths	1835	Illinois	IL
17	2015	drugdeathrate	14.3	Illinois	IL
17	2016	drugdeaths	2411	Illinois	IL
17	2016	drugdeathrate	18.8	Illinois	IL
18	2010	drugdeaths	927	Indiana	IN
18	2010	drugdeathrate	14.3	Indiana	IN
18	2011	drugdeaths	975	Indiana	IN
18	2011	drugdeathrate	15	Indiana	IN
18	2012	drugdeaths	1011	Indiana	IN
18	2012	drugdeathrate	15.5	Indiana	IN
18	2013	drugdeaths	1064	Indiana	IN
18	2013	drugdeathrate	16.2	Indiana	IN
18	2014	drugdeaths	1172	Indiana	IN
18	2014	drugdeathrate	17.8	Indiana	IN
18	2015	drugdeaths	1245	Indiana	IN
18	2015	drugdeathrate	18.8	Indiana	IN
18	2016	drugdeaths	1526	Indiana	IN
18	2016	drugdeathrate	23	Indiana	IN
19	2010	drugdeaths	253	Iowa	IA
19	2010	drugdeathrate	8.3	Iowa	IA
19	2011	drugdeaths	250	Iowa	IA
19	2011	drugdeathrate	8.2	Iowa	IA
19	2012	drugdeaths	259	Iowa	IA
19	2012	drugdeathrate	8.4	Iowa	IA
19	2013	drugdeaths	275	Iowa	IA
19	2013	drugdeathrate	8.9	Iowa	IA
19	2014	drugdeaths	264	Iowa	IA
19	2014	drugdeathrate	8.5	Iowa	IA
19	2015	drugdeaths	309	Iowa	IA
19	2015	drugdeathrate	9.9	Iowa	IA
19	2016	drugdeaths	314	Iowa	IA
19	2016	drugdeathrate	10	Iowa	IA
20	2010	drugdeaths	269	Kansas	KS
20	2010	drugdeathrate	9.4	Kansas	KS
20	2011	drugdeaths	280	Kansas	KS
20	2011	drugdeathrate	9.8	Kansas	KS
20	2012	drugdeaths	318	Kansas	KS
20	2012	drugdeathrate	11	Kansas	KS
20	2013	drugdeaths	331	Kansas	KS
20	2013	drugdeathrate	11.4	Kansas	KS
20	2014	drugdeaths	332	Kansas	KS
20	2014	drugdeathrate	11.4	Kansas	KS
20	2015	drugdeaths	329	Kansas	KS
20	2015	drugdeathrate	11.3	Kansas	KS
20	2016	drugdeaths	313	Kansas	KS
20	2016	drugdeathrate	10.8	Kansas	KS
21	2010	drugdeaths	1007	Kentucky	KY
21	2010	drugdeathrate	23.2	Kentucky	KY
21	2011	drugdeaths	1058	Kentucky	KY
21	2011	drugdeathrate	24.2	Kentucky	KY
21	2012	drugdeaths	1078	Kentucky	KY
21	2012	drugdeathrate	24.6	Kentucky	KY
21	2013	drugdeaths	1019	Kentucky	KY
21	2013	drugdeathrate	23.2	Kentucky	KY
21	2014	drugdeaths	1077	Kentucky	KY
21	2014	drugdeathrate	24.4	Kentucky	KY
21	2015	drugdeaths	1273	Kentucky	KY
21	2015	drugdeathrate	28.8	Kentucky	KY
21	2016	drugdeaths	1419	Kentucky	KY
21	2016	drugdeathrate	32	Kentucky	KY
22	2010	drugdeaths	591	Louisiana	LA
22	2010	drugdeathrate	13	Louisiana	LA
22	2011	drugdeaths	601	Louisiana	LA
22	2011	drugdeathrate	13.1	Louisiana	LA
22	2012	drugdeaths	566	Louisiana	LA
22	2012	drugdeathrate	12.3	Louisiana	LA
22	2013	drugdeaths	809	Louisiana	LA
22	2013	drugdeathrate	17.5	Louisiana	LA
22	2014	drugdeaths	777	Louisiana	LA
22	2014	drugdeathrate	16.7	Louisiana	LA
22	2015	drugdeaths	861	Louisiana	LA
22	2015	drugdeathrate	18.4	Louisiana	LA
22	2016	drugdeaths	996	Louisiana	LA
22	2016	drugdeathrate	21.3	Louisiana	LA
23	2010	drugdeaths	135	Maine	ME
23	2010	drugdeathrate	10.2	Maine	ME
23	2011	drugdeaths	156	Maine	ME
23	2011	drugdeathrate	11.7	Maine	ME
23	2012	drugdeaths	150	Maine	ME
23	2012	drugdeathrate	11.3	Maine	ME
23	2013	drugdeaths	174	Maine	ME
23	2013	drugdeathrate	13.1	Maine	ME
23	2014	drugdeaths	216	Maine	ME
23	2014	drugdeathrate	16.2	Maine	ME
23	2015	drugdeaths	269	Maine	ME
